person_id,name,gender,party,assembly_id,sponsorship,cosponsorship
1964179,김명연,m,새누리당,19,11,233
19591111,조원진,m,새누리당,19,14,230
1965187,이장우,m,새누리당,19,8,230
1958193,김성태,m,새누리당,19,18,229
19551112,강석호,m,새누리당,19,10,228
19561118,박기춘,m,민주통합당,19,25,225
19601149,이종훈,m,새누리당,19,4,224
1959214,심상정,f,통합진보당,19,23,224
19611104,윤재옥,m,새누리당,19,12,222
19601113,주호영,m,새누리당,19,9,222
19521121,신학용,m,민주통합당,19,18,222
19631128,박범계,m,민주통합당,19,11,222
195319,설훈,m,민주통합당,19,10,221
196723,진선미,f,민주통합당,19,16,220
19611131,박대출,m,새누리당,19,12,220
19591125,한선교,m,새누리당,19,29,220
19481137,유인태,m,민주통합당,19,1,219
19451101,조현룡,m,새누리당,19,13,215
19531115,이강후,m,새누리당,19,9,215
1950181,정세균,m,민주통합당,19,4,213
19511100,박대동,m,새누리당,19,13,213
1968139,조경태,m,민주통합당,19,27,212
19491129,박상은,m,새누리당,19,12,210
1973110,김상민,m,새누리당,19,9,210
1964174,김도읍,m,새누리당,19,13,206
1966174,김기식,m,민주통합당,19,11,206
19561106,유재중,m,새누리당,19,17,205
19611128,심학봉,m,새누리당,19,3,204
19461132,윤진식,m,새누리당,19,4,202
1967149,김영우,m,새누리당,19,11,202
19531108,나성린,m,새누리당,19,19,202
1968138,하태경,m,새누리당,19,14,200
19641105,이학재,m,새누리당,19,14,197
19501106,노철래,m,새누리당,19,10,196
19531117,정우택,m,새누리당,19,19,195
19421168,박지원,m,민주통합당,19,10,195
19591138,박창식,m,새누리당,19,8,194
1963196,김상훈,m,새누리당,19,12,192
19421165,송광호,m,새누리당,19,13,192
19581115,전하진,m,새누리당,19,7,192
1971214,김희정,f,새누리당,19,30,192
19551128,안효대,m,새누리당,19,33,190
19461135,정수성,m,새누리당,19,20,189
19531118,박덕흠,m,새누리당,19,6,188
19611132,김재경,m,새누리당,19,12,187
19581103,유승민,m,새누리당,19,8,186
1964183,김진태,m,새누리당,19,7,185
1963188,최재천,m,민주통합당,19,12,185
19461131,황진하,m,새누리당,19,9,184
19521128,이해찬,m,민주통합당,19,5,182
1965184,박민식,m,새누리당,19,16,182
19581127,경대수,m,새누리당,19,12,181
19471118,김진표,m,민주통합당,19,9,181
19491120,김종태,m,새누리당,19,5,180
19431139,김태환,m,새누리당,19,5,177
1967139,홍익표,m,민주통합당,19,7,174
19561109,홍일표,m,새누리당,19,6,172
1962194,윤상현,m,새누리당,19,14,168
19531106,신동우,m,새누리당,19,5,167
1964171,강석훈,m,새누리당,19,4,166
19621102,원유철,m,새누리당,19,9,166
19511108,이주영,m,새누리당,19,11,166
19641100,윤영석,m,새누리당,19,3,163
1966216,김미희,f,통합진보당,19,9,162
1962128,우상호,m,민주통합당,19,7,161
19461128,안덕수,m,새누리당,19,5,159
19501102,백군기,m,민주통합당,19,12,159
19511106,성완종,m,자유선진당,19,19,158
19581117,심재철,m,새누리당,19,28,158
1952173,신기남,m,민주통합당,19,4,157
1968136,김용태,m,새누리당,19,5,156
19551125,박성효,m,새누리당,19,9,153
19611135,이상일,m,새누리당,19,13,149
19551119,길정우,m,새누리당,19,15,148
19481130,이인제,m,자유선진당,19,3,146
1945113,문희상,m,민주통합당,19,3,144
19421164,강길부,m,새누리당,19,7,143
19571121,김정훈,m,새누리당,19,8,142
19591116,김기현,m,새누리당,19,12,140
19521154,박병석,m,민주통합당,19,15,135
1967147,송호창,m,민주통합당,19,7,134
19521109,이군현,m,새누리당,19,9,133
19521117,서병수,m,새누리당,19,11,131
19531101,김한길,m,민주통합당,19,2,131
1967151,김선동,m,통합진보당,19,6,131
19541102,신계륜,m,민주통합당,19,11,129
19631127,조해진,m,새누리당,19,15,129
19591137,안종범,m,새누리당,19,6,128
19541105,심윤조,m,새누리당,19,4,128
1956177,노회찬,m,통합진보당,19,16,128
19551153,홍문종,m,새누리당,19,4,127
19521114,김종훈,m,새누리당,19,5,126
19551120,김회선,m,새누리당,19,3,125
1950199,장윤석,m,새누리당,19,6,125
19571128,오병윤,m,통합진보당,19,6,123
1965183,이상규,m,통합진보당,19,12,123
19621110,김태호,m,새누리당,19,2,123
19531110,문재인,m,민주통합당,19,3,121
19551152,유일호,m,새누리당,19,7,120
19481132,김광림,m,새누리당,19,7,117
19541107,이재균,m,새누리당,19,5,117
1958179,정병국,m,새누리당,19,5,112
19611113,김학용,m,새누리당,19,20,109
1945180,이한구,m,새누리당,19,63,106
19521136,김근태,m,새누리당,19,4,104
19571137,유정복,m,새누리당,19,16,102
1950136,진영,m,새누리당,19,8,102
19551143,최경환,m,새누리당,19,12,99
1957191,정두언,m,새누리당,19,4,97
195129,현영희,f,새누리당,19,4,94
1951177,정몽준,m,새누리당,19,3,91
19521108,이병석,m,새누리당,19,5,82
1945194,이재오,m,새누리당,19,6,79
19471117,황우여,m,새누리당,19,4,78
19521142,김형태,m,새누리당,19,2,73
198023,김재연,f,통합진보당,19,6,68
1962125,이석기,m,통합진보당,19,3,62
1951151,김무성,m,새누리당,19,0,36
195224,박근혜,f,새누리당,19,1,31
1950133,이완구,m,새누리당,19,0,7
19461111,강창희,m,새누리당,19,1,4
1959212,윤금순,f,통합진보당,19,1,1
19561115,이재영,m,새누리당,19,0,0
197515,이재영,m,새누리당,19,0,0
19571122,유성걸,m,새누리당,19,0,0
19541125,김영주,m,자유선진당,19,0,0
195526,김영주,f,민주통합당,19,0,0
19621122,안철수,m,무소속,19,0,0
