bill_id,bill_name
010243,한국은행법안
010244,정부조직법중개정법률안(대안)
010245,정부조직법중개정법률안(대안)
010246,은행법안
010247,직물세법안
010248,주세법중개정법률안
010249,소득세법중개정법률안
010250,양곡관리특별회계법안
010251,대한석탄공사법안
010253,어업에관한임시조치법중개정법률안
010254,국립극장설치법안
010255,정부조직법중개정법률안
010256,단기4281년도세입세출총예산안
010257,단기4281년도제1회세입세출추가예산안
010258,단기4281년도제2회세입세출추가예산안
010259,단기4282년도세입세출추가예산안
010260,단기4282년도세입세출가예산안
010261,단기4282년도세입세출총예산안
010262,단기4282년도제1회세입세출추가예산안
010263,단기4282년도제2회세입세출추가예산안
010264,단기4282년도제1회세입세출추가예산안
010265,단기4282년도후생복표특별회계세입세출예산안
010266,단기4282년도제2회세입세출추가경정예산안
010267,단기4282년도제3회세입세출추가예산안
010268,단기4282년도국립극장특별회계세입세출예산안
010269,단기4282년도후생복표특별회계세입세출추가예산안
010270,단기4283년도세입세출가예산안
010271,단기4283년도세입세출총예산안
010272,단기4283년도세입세출추가경정예산안
010273,단기4283년도한국경제부흥원조자금을자원으로하는추가예산안
010274,단기4283년도양곡관리특별회계세입세출예산안
010277,곡물검사규칙중개정법률안
010278,정부조직법중개정법률안
010279,농지개혁에관한임시조치법안
010280,농업협동사법안
010287,증여세법안
010294,정부조직법중개정법률안
010295,정부조직법중개정법률안
010296,중앙도매시장법안
010299,어업에관한임조치법중개정법률안
010303,일반사면령동의안
010304,대한민국정부급미국정부간의재정급재산에관한최초협정동의안
010305,단기4281년산미곡자금정부보증대부동의안
010306,미합중국급대한민국간의원조협정동의안
010307,국회사무처직제동의안
010308,미합중국에반도「호텔」을증여함에대한동의안
010309,단기4281년도면화매상자금정부보증대부동의안
010310,의원(조봉암)구속동의요청의건
010311,단기4282년도고공품매상자금정부보증대부동의안
010312,세계보건기구가입에관한동의안
010313,단기4282년도농림부소관잠사류생산자금정부보증대부동의안
010314,단기4283년도목재매수자금정부보증대부동의안
010315,여수재해복구사업자금정부보증융자동의안
010316,대한민국정부급북미합중국간의전력에관한협정비준동의안
010317,단기4282년도농지개발자금정부보증대부동의안
010318,단기4282년도농지개발대책비충당장기채추가정부보증대부동의안
010319,단기4282년도면화매상자금정부보증대부동의안
010320,단기4282년도산미곡매상자금정부보증융자동의안
010321,단기4282년도수출용해태수집자금정부보증융자동의안
010322,국회여비규정동의안
010323,단기4282년도제1회추가예산중긴급지출에관한세입재원변경승인의건
010324,한미군사원조쌍무협정동의안
010325,단기4282년도농지개발자금추가정부보증대부동의안
010326,단기4283년도상묘잠종생산자금정부보증대부동의안
010327,상공부직할삼성광업회사장항제련소에대한정부보증융자동의안
010328,한미재정급재산에관한최종협정동의안
010329,단기4282년도제2회추가경정예산중일부사용승인의건
010330,정부조직에관한건의안
010331,정부내친일파숙청에관한건의안
010332,최고국방회의설치에관한건의안
010333,추곡수집폐지에관한건의안
010334,국가와국기제정에관한건의안
010335,외국수입물자격증에대한대책에관한건의안
010336,재일동포재산반입긴급조치에관한건의안
010337,고급요정급흥행영업임시정지에관한건의안
010338,시국수습대책에관한건의안
010339,초등교육시설확충에관한건의안
010340,건해태대일수출촉진에관한건의안
010341,석유정제급통제에관한건의안
010342,낙동강상류남강절강공사촉진에관한건의안
010343,무주택동포에게적산건물재분배에관한건의안
010344,양곡매입용팔급포장품대별도지불에관한건의안
010345,외국선박에대한부정행위방지에관한건의안
010346,시국혼란에감하여행정대강선포에관한건의안
010347,인사쇄신(내무부장관사직)권고에관한건의안
010348,국립서울대학교공과대학확충에관한건의안
010349,대마도반환요구에관한건의안
010350,양곡매상에관한건의안
010351,국민복제정실시에관한건의안
010352,철도임금인상에관한건의안
010353,낙동강가교공사에관한건의안
010354,외래유숙자신고제철회에관한건의안
010355,철도운임에관한건의안
010356,교육시설에대한E.C.A.원조청원에관한건의안
010357,각종잡종금의징수폐지에관한건의안
010358,시국수습에대한건의안
010359,건설사업추진에관한건의안
010360,이앙용노무총동원에관한건의안
010361,서울시내택시정비에관한건의안
010362,건설부설치에관한건의안
010363,건해태융통자금정부보증대부에관한건의안
010364,해미수리조합설치에관한건의안
010365,대한경제원조에대한외교촉진에관한건의안
010366,간척사업실시에관한건의안
010367,고공품매상자금융자에관한건의안
010368,도자기밀수입에관한건의안
010369,이재민구호대책에관한건의안
010370,경찰관증원계획수립에관한건의안
010371,금융정책에관한건의안
010372,양곡매상에관한건의안
010373,법무부장관·검찰총장파면에관한건의안
