bill_id,proposed_date,bill_name
1906298,2013-08-08,취업 후 학자금 상환 특별법 일부개정법률안
1906274,2013-08-05,스포츠산업 진흥법 일부개정법률안
1906294,2013-08-07,청소년활동진흥법 일부개정법률안
1906299,2013-08-08,모자보건법 일부개정법률안
1906296,2013-08-08,한국장학재단 설립 등에 관한 법률 일부개정법률안
1906306,2013-08-08,협동연구개발촉진법 전부개정법률안
1906301,2013-08-08,지방자치법 일부개정법률안
1906297,2013-08-08,사립학교교직원 연금법 일부개정법률안
1906270,2013-08-05,수상레저안전법 일부개정법률안
1906293,2013-08-07,방송법 일부개정법률안
1901268,2012-08-22,측량·수로조사 및 지적에 관한 법률 일부개정법률안
1904983,2013-05-15,대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안
1906300,2013-08-08,에너지이용 합리화법 일부개정법률안
1906331,2013-08-12,제318회국회(임시회) 회기결정의 건
1906328,2013-08-12,지방자치법 일부개정법률안
1906674,2013-09-03,방사능 오염으로부터 안전한 식품 관리와 일본산 수산물 수입 금지 촉구 결의안
1906336,2013-08-12,식품위생법 일부개정법률안
1906333,2013-08-12,환경기술 및 환경산업 지원법 일부개정법률안
1906326,2013-08-09,주택임대차보호법 일부개정법률안
1906322,2013-08-09,노인장기요양보험법 일부개정법률안
1906312,2013-08-09,학교보건법 일부개정법률안
1918488,2016-01-22,태권도 진흥 및 태권도공원 조성 등에 관한 법률 일부개정법률안
1906325,2013-08-09,소득세법 일부개정법률안
1906321,2013-08-09,도로교통법 일부개정법률안
1906313,2013-08-09,경제자유구역의 지정 및 운영에 관한 특별법 일부개정법률안
1906320,2013-08-09,주민등록법 일부개정법률안
1906311,2013-08-09,사회기반시설에 대한 민간투자법 일부개정법률안
1906324,2013-08-09,공직선거법 일부개정법률안
1906323,2013-08-09,자동차관리법 일부개정법률안
1906310,2013-08-09,정당법 일부개정법률안
1906303,2013-08-08,직업교육훈련 촉진법 일부개정법률안
1918489,2016-01-25,해양생태계의 보전 및 관리에 관한 법률 일부개정법률안
1903345,2013-01-17,주택법 일부개정법률안
1906362,2013-08-13,외무공무원법 일부개정법률안
ZZ19081,2013-09-06,2013년도 법률안 국회제출 계획에 대한 주요 변경사항
1904761,2013-05-01,산림보호법 일부개정법률안
1901821,2012-09-14,폐기물처리시설 설치촉진 및 주변지역지원 등에 관한 법률 일부개정법률안
1902855,2012-11-29,관상어산업의 육성 및 지원에 관한 법률안
1906334,2013-08-12,지적재조사에 관한 특별법 일부개정법률안
1900868,2012-07-25,국가채권 관리법 일부개정법률안
1904279,2013-03-26,농업인등의 농외소득 활동 지원에 관한 법률 일부개정법률안
1903740,2013-02-15,의료법 일부개정법률안
1906350,2013-08-13,전기사업법 일부개정법률안
1906342,2013-08-12,독점규제 및 공정거래에 관한 법률 일부개정법률안
1901730,2012-09-11,신항만건설촉진법 일부개정법률안
1901929,2012-09-24,고등교육법 일부개정법률안
1905424,2013-06-12,방송통신발전 기본법 일부개정법률안
1906337,2013-08-12,사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률 일부개정법률안
1906340,2013-08-12,지방자치법 일부개정법률안
1903574,2013-02-04,소득세법 일부개정법률안
1903743,2013-02-15,약사법 일부개정법률안
1905156,2013-05-28,건강기능식품에 관한 법률 일부개정법률안
1904477,2013-04-10,결혼중개업의 관리에 관한 법률 일부개정법률안
1903742,2013-02-15,의료기기법 일부개정법률안
1906329,2013-08-12,한국재정정보원법안
1903285,2013-01-10,해양경비법 일부개정법률안
1906341,2013-08-12,채무자 회생 및 파산에 관한 법률 일부개정법률안
1906338,2013-08-12,주택임대차보호법 일부개정법률안
1906339,2013-08-12,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안
1905791,2013-07-01,한국교육방송공사법 일부개정법률안(대안)
1904237,2013-03-25,수산업협동조합법 일부개정법률안
1906348,2013-08-13,농어업인력지원법안
1904519,2013-04-15,소방시설공사업법 일부개정법률안
1906383,2013-08-14,항공우주산업개발 촉진법 일부개정법률안
1906403,2013-08-16,관세법 일부개정법률안
1906366,2013-08-13,국가정보원직원법 일부개정법률안
1906367,2013-08-13,한국전쟁전후 포항지역 민간인희생자 명예회복 및 보상 등에 관한 특별법안
1906378,2013-08-14,노인복지법 일부개정법률안
1906384,2013-08-14,북한이탈주민의 보호 및 정착지원에 관한 법률 일부개정법률안
1906361,2013-08-13,국립외교원법 일부개정법률안
1906374,2013-08-14,조세특례제한법 일부개정법률안
1906359,2013-08-13,기초노령연금법 일부개정법률안
1906375,2013-08-14,관세법 일부개정법률안
1906355,2013-08-13,장애인복지법 일부개정법률안
1906347,2013-08-13,보조금 관리에 관한 법률 일부개정법률안
1906360,2013-08-13,장애인연금법 일부개정법률안
1906349,2013-08-13,학교폭력예방 및 대책에 관한 법률 일부개정법률안
1906369,2013-08-14,방사성폐기물 관리법 일부개정법률안
1906386,2013-08-14,학원의 설립·운영 및 과외교습에 관한 법률 일부개정법률안
1906351,2013-08-13,학원의 설립·운영 및 과외교습에 관한 법률 일부개정법률안
1906364,2013-08-13,전기사업법 일부개정법률안
1906352,2013-08-13,초·중등교육법 일부개정법률안
1906363,2013-08-13,고려인동포 합법적 체류자격 취득 및 정착 지원을 위한 특별법 일부개정법률안
1906380,2013-08-14,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안
1901888,2012-09-20,독점규제 및 공정거래에 관한 법률 일부개정법률안
1906356,2013-08-13,사립학교법 일부개정법률안
1906346,2013-08-13,독도의 지속가능한 이용에 관한 법률 일부개정법률안
1906368,2013-08-14,초·중등교육법 일부개정법률안
1906377,2013-08-14,건축법 일부개정법률안
1904416,2013-04-05,개발제한구역의 지정 및 관리에 관한 특별조치법 일부개정법률안
1904193,2013-03-21,북핵 위기 해결을 위한 남북관계 개선 촉구 결의안
1901990,2012-09-26,노인장기요양보험법 일부개정법률안
1906918,2013-09-17,민사집행법 일부개정법률안
1906943,2013-09-23,중견기업 성장 촉진 특별법안
1900611,2012-07-10,상호저축은행법 일부개정법률안
1900476,2012-07-03,국민건강증진법 일부개정법률안
1907053,2013-09-30,허베이스피리트호 유류피해대책 특별위원회 활동기간 연장의 건
1907054,2013-09-30,평창동계올림픽 및 국제경기대회지원 특별위원회 활동기간 연장의 건
1907055,2013-09-30,방송공정성 특별위원회 활동기간 연장의 건
1907077,2013-09-30,조세특례제한법 일부개정법률안
1907095,2013-10-01,휴회의 건
1900613,2012-07-10,국가재정법 일부개정법률안
ZZ19083,2013-10-02,2013~2017년 국가재정운용계획
ZZ19085,2013-10-02,2013년 국고보조사업 운용평가보고서
1907110,2013-10-02,자동차관리법 일부개정법률안
1907111,2013-10-02,한국장학재단 설립 등에 관한 법률 일부개정법률안
1907114,2013-10-02,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안
1907104,2013-10-02,2014년도 예산안
1907119,2013-10-02,국회의원(김진태) 징계안
1904129,2013-03-19,공직선거법 일부개정법률안
1904102,2013-03-18,지방자치단체를 당사자로 하는 계약에 관한 법률 일부개정법률안
1901624,2012-09-06,경비업법 일부개정법률안
1901769,2012-09-12,본회의 의결을 요하는 국정감사대상기관 승인의 건
1902075,2012-09-28,성폭력범죄자의 성충동 약물치료에 관한 법률 일부개정법률안
1900803,2012-07-23,시체해부 및 보존에 관한 법률 일부개정법률안
1902027,2012-09-27,휴회의 건
1900298,2012-06-25,자본시장과 금융투자업에 관한 법률 일부개정법률안
1904442,2013-04-08,화학물질의 등록 및 평가 등에 관한 법률안
1900859,2012-07-25,자격기본법 일부개정법률안
1906402,2013-08-16,유통산업발전법 일부개정법률안
1906371,2013-08-14,독립유공자예우에 관한 법률 일부개정법률안
